kanji,ucs,jis208,jis212,jis213,radicals,grade,stroke_count,freq,jlpt,readings,meanings,nanori
員,54e1,1-16-87,,,30,3,10,54,3,yuan2;yun2;yun4;weon;원;Viên;Vân;イン,employee;member;number;the one in charge;employé;membre;nombre (de personnes);personne en charge;empleado;miembro;personal;empregado;membro;número;encarregado,いな;かず
因,56e0,1-16-88,,,31,5,6,636,2,yin1;in;인;Nhân;イン;よ.る;ちな.む,cause;factor;be associated with;depend on;be limited to;cause;facteur;associé à;dépendre de;limité à;causa;origen;depender de;contar con;causa;fator;seja associado com;contar com;ser limitado para,て
姻,59fb,1-16-89,,,38,8,9,1985,1,yin1;in;인;Nhân;イン,matrimony;marry;conjugal;mariage;matrimonio;casarse;matrimônio;casa,
引,5f15,1-16-90,,,57,2,4,218,3,yin3;in;인;Dẫn;Dấn;イン;ひ.く;ひ.ける,pull;tug;jerk;admit;install;quote;refer to;tirer;admettre;installer;citation;référence;jouer (musique);attraper (froid);tirar;remolcar;retroceder;ser guiado;arrastrar;tocar (instrumento de cuerda);puxar;rebocar;sacudir;permitir;instalar;citação;referir-se,いな;ひき;ひけ;びき
飲,98f2,1-16-91,,,184,3,12,969,4,yin3;yin4;eum;음;Ấm;Ẩm;Hẩm;Ỡm;イン;オン;の.む;-の.み,drink;smoke;take;boire;fumer;prendre;beber;beber;fumar;tomar,
淫,6deb,1-16-92,,,85,8,11,,,yin2;eum;음;Dâm;イン;ひた.す;ほしいまま;みだ.ら;みだ.れる;みだり,lewdness;licentiousness,
胤,80e4,1-16-93,,,130;4,9,9,,1,yin4;yun;윤;Dận;イン;たね,descendent;issue;offspring;progenie;descendencia,つぎ;つぐ;かず
蔭,852d,1-16-94,,,140,9,14,2166,,yin4;yin1;eum;음;Ấm;イン;オン;かげ,shade;shadow;backing assistance,
院,9662,1-17-01,,,170,3,10,150,3,yuan4;weon;원;Viện;イン,Inst.;institution;temple;mansion;school;temple;institution;résidence;école;hôpital;institución;templo;hospital;instituição;templo;mansão;escola,
陰,9670,1-17-02,,,170,8,11,1393,1,yin1;eum;음;Âm;イン;かげ;かげ.る,shade;yin;negative;sex organs;secret;shadow;Yin;ombre;négatif;secret;organes sexuels;sombra;oscuridad;oculto;negativo;ocultar;matiz;yin;negativa;órgões sexuais;segredo;sombra,
隠,96a0,1-17-03,,,170,8,14,1089,1,yin3;eun;은;Ẩn;イン;オン;かく.す;かく.し;かく.れる;よ.る,conceal;hide;cover;dissimuler;cacher;couvrir;ocultar;esconder;cubrir;esconderse;estar escondido;esconder;esconderijo;capa,お;がくし
韻,97fb,1-17-04,,,180,8,19,2148,1,yun4;un;운;Vận;イン,rhyme;elegance;tone;rime;élégance;son (phonème);tono;rima;ritmo;elegancia;rime;elegância;tom,
吋,540b,1-17-05,,,30,,6,,,cun4;chon;du;촌;두;Thốn;Đẩu;トウ;ドウ;スン;インチ,inch,
右,53f3,1-17-06,,,30,1,5,602,4,you4;u;우;Hữu;ウ;ユウ;みぎ,right;droite;derecha;Direita,あき;すけ
宇,5b87,1-17-07,,,40,6,6,883,2,yu3;u;우;Vũ;ウ,eaves;roof;house;heaven;firmament;cieux;auvent;toit;maison;edificio grande;cielo;sensación;Beira de telhado;teto;casa;paraíso,いえ;たか;ひろ;ひろし
烏,70cf,1-17-08,,,86;4,9,10,2042,,wu1;wu4;o;오;Ô;ウ;オ;からす;いずくんぞ;なんぞ,crow;raven;corneille;corbeau;cuervo,
羽,7fbd,1-17-09,,,124,2,6,748,2,yu3;u;우;Vũ;ウ;は;わ;はね,"feathers;counter for birds, rabbits;plume;compteur d'oiseaux, lapins;pluma;alas;contador de pájaros y conejos;penas;sufixo para contagem de pássaros;coelhos",しゅう;ば
迂,8fc2,1-17-10,,,162,9,6,,,yu1;o;u;오;우;Vu;ウ,roundabout way;déviation,
雨,96e8,1-17-11,,,173,1,8,950,4,yu3;yu4;u;우;Vũ;Vú;ウ;あめ;あま-;-さめ,rain;pluie;lluvia;chuva,
