kanji,ucs,jis208,jis212,jis213,radicals,grade,stroke_count,freq,jlpt,readings,meanings,nanori
檻,6abb,1-61-03,,,75,,19,,,jian4;kan3;ham;함;Hạm;カン;おり;おばしま;てすり,pen;corral;cell;jail,
櫃,6ac3,1-61-04,,,75,,18,,,gui4;ju3;gwe;궤;Quỹ;キ;ひつ,chest;coffer;tub,
櫂,6ac2,1-61-05,,,75,9.0,18,,,zhao4;do;도;Trạo;Trạc;トウ;タク;かい;かじ,oar;scull;paddle,
檸,6ab8,1-61-06,,,75,,18,,,ning2;nyeong;녕;Nịnh;ネイ;ドウ,lemon tree,
檳,6ab3,1-61-07,,,75,,18,,,bin1;bing1;bin;빈;Tân;ビン;ヒン,betel-nut palm,
檬,6aac,1-61-08,,,75,,17,,,meng2;mong;몽;Mông;モウ,lemon tree,
櫞,6ade,1-61-09,,,75,,19,,,yuan2;yeon;연;Duyên;エン,kind of lemon tree,
櫑,6ad1,1-61-10,,,75,,19,,,lei2;lei3;roe;뢰;Lôi;Lỗi;Lũy;ライ;さかだる,decorated wine cask;decorated sword hilt,
櫟,6adf,1-61-11,,,75,,19,,,li4;yue4;ryeog;력;Lịch;Lao;レキ;ヤク;ロウ;くぬぎ,oak for charcoal,いち
檪,6aaa,1-61-12,,,75,,17,,,li4;yue4;ryeog;력;Lạc;レキ;ヤク;ロウ;くぬぎ,oak used for charcoal,いち
櫚,6ada,1-61-13,,,75,,19,,,lu:2;ryeo;려;Lư;ロ;リョ,kind of quince,
櫪,6aea,1-61-14,,,75,,20,,,li4;ryeog;력;Lịch;レキ;かいばおけ;くぬぎ,manger;fodder trough;horse barn,
櫻,6afb,1-61-15,,,75,10.0,21,,,ying1;aeng;앵;Anh;オウ;ヨウ;さくら,cherry,
欅,6b05,1-61-16,,,75,,21,,,ju3;geo;거;Cử;キョ;けやき,keyaki;zelkova tree,
蘖,8616,1-61-17,,,140,,20,,,nie4;eol;얼;Nghiệt;ゲツ;ひこばえ,sprout,
櫺,6afa,1-61-18,,,75,,21,,,ling2;ryeong;령;Linh;レイ;リョウ;れんじ,latticework,
欒,6b12,1-61-19,,,75,,23,,,luan2;ran;란;Loan;ラン;おうち;ひじき;まどか;まるい,chinaberry tree;round;harmonious,
欖,6b16,1-61-20,,,75,,26,,,lan3;ram;람;Lãm;ラン,Chinese olive tree,
鬱,9b31,1-61-21,,,192;75,8.0,29,,,yu4;ul;울;Uất;ウツ;うっ.する;ふさ.ぐ;しげ.る,gloom;depression;melancholy;luxuriant,
欟,6b1f,1-61-22,,,75,,28,,,gwan;관;Quan;つき,keyaki;zelkova tree;(kokuji),
欸,6b38,1-61-23,,,76,,11,,,e^1;e^2;e^3;e^4;ai3;ae;애;Ai;Ái;アイ;カイ,exclamation,
欷,6b37,1-61-24,,,76,,11,,,xi1;heui;희;Hy;キ;なげく,cry,
盜,76dc,1-61-25,,,108,10.0,12,,,dao4;do;도;Đạo;トウ;ぬす.む,thief;to steal,
欹,6b39,1-61-26,,,76,,12,,,yi1;qi1;eui;의;Y;イ;キ;そばだ.てる;そばだ.つ,prick up (one's ears),
飮,98ee,1-61-27,,,184,,13,,,yin3;yin4;eum;음;Ẩm;Ấm;イン;オン;の.む,drink,
歇,6b47,1-61-28,,,76,,13,,,xie1;heol;헐;Hiết;ケツ;カイ;カツ;や.める,exhausted;out of,
